800000 tests per attempt, 30 attempts (single threaded machine, 12/12/2012
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

dimitris@artemis:~/safeqc/safeqc/tmu$ EXTRATMUARGS="--gen-empty-init-stk=True" make simpletables && echo "Nonempty now" && make simpletables

ghc --make -main-is TMUDriver -O2 -Werror -fwarn-unused-imports -fwarn-missing-signatures -fwarn-unused-do-bind -fwarn-incomplete-patterns -fwarn-tabs -i..//common   TMUDriver.hs
PropSemanticNonInterference & GenNaiveLonger & IfcBugPushNoTaint & 0.997 & 4053 & 1.000 & 2939
PropSemanticNonInterference & GenNaiveLonger & IfcBugLoadNoTaint & 82.254 & 395836 & 0.733 & 1618
PropSemanticNonInterference & GenNaiveLonger & IfcBugStoreNoTaint & 18.769 & 79847 & 1.000 & 3155
PropSemanticNonInterference & GenNaiveLonger & IfcBugAllowWriteDownThroughHighPtr & 0.910 & 3891 & 1.000 & 2216

PropLowLockStep & GenNaiveLonger & IfcBugAddNoTaint & 0.026 & 8 & 1.000 & 2530
PropLowLockStep & GenNaiveLonger & IfcBugPushNoTaint & 0.022 & 13 & 1.000 & 1913
PropLowLockStep & GenNaiveLonger & IfcBugLoadNoTaint & 1.259 & 2570 & 1.000 & 2255
PropLowLockStep & GenNaiveLonger & IfcBugStoreNoTaint & 36.031 & 104771 & 1.000 & 2228
PropLowLockStep & GenNaiveLonger & IfcBugAllowWriteDownThroughHighPtr & 2.029 & 2870 & 1.000 & 2519

PropSemanticNonInterference & GenNaiveWeighted & IfcBugAddNoTaint & 0.485 & 323 & 1.000 & 5212
PropSemanticNonInterference & GenNaiveWeighted & IfcBugPushNoTaint & 0.235 & 143 & 1.000 & 3501
PropSemanticNonInterference & GenNaiveWeighted & IfcBugLoadNoTaint & 82.775 & 295279 & 0.900 & 2064
PropSemanticNonInterference & GenNaiveWeighted & IfcBugStoreNoTaint & 52.375 & 190357 & 1.000 & 1981
PropSemanticNonInterference & GenNaiveWeighted & IfcBugAllowWriteDownThroughHighPtr & 1.571 & 5090 & 1.000 & 2367

PropLowLockStep & GenNaiveWeighted & IfcBugAddNoTaint & 0.073 & 5 & 1.000 & 2379
PropLowLockStep & GenNaiveWeighted & IfcBugPushNoTaint & 0.031 & 3 & 1.000 & 1805
PropLowLockStep & GenNaiveWeighted & IfcBugLoadNoTaint & 1.689 & 2778 & 1.000 & 2148
PropLowLockStep & GenNaiveWeighted & IfcBugStoreNoTaint & 70.714 & 143963 & 1.000 & 2094
PropLowLockStep & GenNaiveWeighted & IfcBugAllowWriteDownThroughHighPtr & 2.644 & 4590 & 1.000 & 2246

PropSemanticNonInterference & GenByExec & IfcBugAddNoTaint & 0.547 & 10 & 1.000 & 2717
PropSemanticNonInterference & GenByExec & IfcBugPushNoTaint & 0.320 & 4 & 1.000 & 2558
PropSemanticNonInterference & GenByExec & IfcBugLoadNoTaint & 10.666 & 2617 & 1.000 & 2492
PropSemanticNonInterference & GenByExec & IfcBugStoreNoTaint & 23.227 & 6094 & 1.000 & 2263
PropSemanticNonInterference & GenByExec & IfcBugAllowWriteDownThroughHighPtr & 1.060 & 179 & 1.000 & 2297

PropLowLockStep & GenByExec & IfcBugAddNoTaint & 0.359 & 1 & 1.000 & 2944
PropLowLockStep & GenByExec & IfcBugPushNoTaint & 0.152 & 1 & 1.000 & 2833
PropLowLockStep & GenByExec & IfcBugLoadNoTaint & 1.789 & 328 & 1.000 & 2465
PropLowLockStep & GenByExec & IfcBugStoreNoTaint & 20.675 & 5593 & 1.000 & 2432
PropLowLockStep & GenByExec & IfcBugAllowWriteDownThroughHighPtr & 1.397 & 173 & 1.000 & 2377


Older run on a different machine with -j4
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

PropSemanticNonInterference & GenNaive & IfcBugAddNoTaint & 0.321 & 459 & 1.000 & 4502
PropLowLockStep & GenNaive & IfcBugAddNoTaint & 0.031 & 8 & 1.000 & 1337
PropSemanticNonInterference & GenNaiveLonger & IfcBugAddNoTaint & 0.355 & 350 & 1.000 & 4917
PropLowLockStep & GenNaiveLonger & IfcBugAddNoTaint & 0.034 & 6 & 1.000 & 2441
PropSemanticNonInterference & GenNaiveLonger & IfcBugPushNoTaint & 0.857 & 3477 & 1.000 & 3308
PropLowLockStep & GenNaiveLonger & IfcBugPushNoTaint & 0.019 & 12 & 1.000 & 1874
PropSemanticNonInterference & GenNaive & IfcBugAllowWriteDownThroughHighPtr & 1.068 & 4144 & 1.000 & 1408
PropSemanticNonInterference & GenNaive & IfcBugPushNoTaint & 1.075 & 4099 & 1.000 & 3319
PropLowLockStep & GenNaive & IfcBugPushNoTaint & 0.019 & 13 & 1.000 & 1030
PropSemanticNonInterference & GenNaiveWeighted & IfcBugPushNoTaint & 0.224 & 81 & 1.000 & 3452
PropLowLockStep & GenNaiveWeighted & IfcBugPushNoTaint & 0.032 & 3 & 1.000 & 1991
PropSemanticNonInterference & GenNaiveWeighted & IfcBugAddNoTaint & 0.497 & 245 & 1.000 & 5421
PropLowLockStep & GenNaiveWeighted & IfcBugAddNoTaint & 0.078 & 7 & 1.000 & 2601
PropSemanticNonInterference & GenNaiveLonger & IfcBugAllowWriteDownThroughHighPtr & 1.118 & 2701 & 1.000 & 2419
PropLowLockStep & GenNaiveLonger & IfcBugAllowWriteDownThroughHighPtr & 1.632 & 2888 & 1.000 & 2438
PropLowLockStep & GenNaive & IfcBugAllowWriteDownThroughHighPtr & 2.239 & 3903 & 1.000 & 1519
PropSemanticNonInterference & GenByExec & IfcBugAddNoTaint & 0.260 & 9 & 1.000 & 2299
PropLowLockStep & GenByExec & IfcBugAddNoTaint & 0.366 & 1 & 1.000 & 3129
PropSemanticNonInterference & GenByExec & IfcBugPushNoTaint & 0.297 & 4 & 1.000 & 2252
PropLowLockStep & GenByExec & IfcBugPushNoTaint & 0.106 & 1 & 1.000 & 2498
PropSemanticNonInterference & GenNaiveWeighted & IfcBugAllowWriteDownThroughHighPtr & 1.299 & 3917 & 1.000 & 2194
PropLowLockStep & GenNaiveWeighted & IfcBugAllowWriteDownThroughHighPtr & 1.885 & 3127 & 1.000 & 2272
PropSemanticNonInterference & GenByExec & IfcBugLoadNoTaint & 8.275 & 2174 & 1.000 & 2540
PropLowLockStep & GenByExec & IfcBugLoadNoTaint & 1.981 & 393 & 1.000 & 2624
PropSemanticNonInterference & GenByExec & IfcBugAllowWriteDownThroughHighPtr & 1.577 & 296 & 1.000 & 2486
PropLowLockStep & GenByExec & IfcBugAllowWriteDownThroughHighPtr & 1.111 & 168 & 1.000 & 2433
PropSemanticNonInterference & GenNaiveLonger & IfcBugStoreNoTaint & 17.690 & 82361 & 1.000 & 2108
PropSemanticNonInterference & GenNaive & IfcBugStoreNoTaint & 25.144 & 118458 & 1.000 & 1426
PropSemanticNonInterference & GenNaiveWeighted & IfcBugStoreNoTaint & 25.186 & 84469 & 1.000 & 2059
PropSemanticNonInterference & GenByExec & IfcBugStoreNoTaint & 21.956 & 6121 & 1.000 & 2278
PropLowLockStep & GenNaiveLonger & IfcBugStoreNoTaint & 21.959 & 62145 & 1.000 & 2072
PropLowLockStep & GenByExec & IfcBugStoreNoTaint & 15.739 & 4135 & 1.000 & 2356
PropSemanticNonInterference & GenNaiveLonger & IfcBugLoadNoTaint & 46.918 & 219074 & 0.933 & 2029
PropLowLockStep & GenNaiveLonger & IfcBugLoadNoTaint & 1.246 & 2380 & 1.000 & 2177
PropLowLockStep & GenNaive & IfcBugStoreNoTaint & 28.121 & 85464 & 1.000 & 1395
PropSemanticNonInterference & GenNaiveWeighted & IfcBugLoadNoTaint & 65.683 & 207509 & 1.000 & 2431
PropLowLockStep & GenNaiveWeighted & IfcBugLoadNoTaint & 1.814 & 2776 & 1.000 & 2345
PropLowLockStep & GenNaiveWeighted & IfcBugStoreNoTaint & 44.658 & 85290 & 1.000 & 2215
PropSemanticNonInterference & GenNaive & IfcBugLoadNoTaint & 76.352 & 367638 & 0.833 & 1243
PropLowLockStep & GenNaive & IfcBugLoadNoTaint & 1.167 & 3750 & 1.000 & 1352

